#{"t_start": 1783733965.347783, "env_id": "SpaceInvaders-v0"}
r,l,t
15.0,613,113.129403
290.0,999,113.694874
70.0,631,114.06747
110.0,647,114.443892
180.0,766,114.887375
135.0,674,115.276653
60.0,513,115.577871
50.0,607,115.936199
20.0,538,116.250009
60.0,662,116.644369
70.0,648,117.020714
90.0,485,117.306259
190.0,986,117.866083
115.0,688,118.26911
110.0,532,118.584171
45.0,519,118.884712
75.0,672,119.283481
155.0,621,119.648691
350.0,995,120.217207
65.0,585,120.560671
120.0,599,120.915367
85.0,660,121.295264
130.0,502,121.59082
265.0,1078,122.211366
110.0,633,122.586426
195.0,736,123.00796
135.0,874,123.507552
190.0,986,124.075141
140.0,715,124.488482
15.0,409,124.725058
120.0,676,125.292228
90.0,583,125.873304
210.0,1018,126.908088
185.0,732,127.652197
300.0,1141,128.768694
155.0,798,129.548829
125.0,525,130.067052
135.0,708,130.747067
150.0,707,131.432012
25.0,648,132.062936
80.0,399,132.455343
580.0,1152,133.557882
45.0,518,134.074353
55.0,499,134.555048
90.0,648,135.196203
165.0,637,135.824107
30.0,808,136.602584
185.0,703,137.285498
50.0,438,137.716242
420.0,1016,138.74139
95.0,700,139.437503
145.0,689,140.150405
10.0,329,140.487942
35.0,564,141.07536
20.0,327,141.390558
115.0,624,142.000398
50.0,365,142.349797
95.0,505,142.846715
50.0,388,143.218646
445.0,1189,144.351865
15.0,365,144.686508
390.0,789,145.484807
125.0,680,146.13856
20.0,500,146.636002
170.0,700,147.324834
405.0,936,148.249598
155.0,707,148.946297
180.0,666,149.594631
55.0,402,149.981175
90.0,766,150.740142
60.0,739,151.501127
110.0,452,151.972958
175.0,978,152.969495
160.0,538,153.509285
260.0,1175,154.646453
20.0,331,154.970445
160.0,921,155.872102
65.0,658,156.520877
80.0,491,157.007533
105.0,673,157.680954
125.0,786,158.459497
245.0,787,159.246735
0.0,347,159.590689
30.0,619,160.211986
140.0,611,160.814029
170.0,953,161.742331
100.0,629,162.350175
95.0,794,163.130415
80.0,636,163.760878
125.0,677,164.429239
345.0,1003,165.41341
60.0,364,165.77861
150.0,876,166.671866
90.0,627,167.279705
360.0,1152,168.393172
330.0,1407,169.772229
360.0,1109,170.84057
285.0,917,171.737897
50.0,503,172.233262
35.0,476,172.692425
20.0,543,173.229699
55.0,540,173.75816
125.0,664,174.400264
35.0,708,175.085077
170.0,1252,176.318159
320.0,980,177.307426
65.0,543,177.855778
35.0,550,178.405182
245.0,1028,179.418316
190.0,916,180.300098
305.0,1292,181.53398
150.0,669,182.181209
100.0,711,182.878691
510.0,1039,183.87878
40.0,595,184.453395
80.0,669,185.104827
95.0,632,185.700403
10.0,351,186.044348
135.0,686,186.719327
85.0,465,187.167106
95.0,656,187.793445
35.0,548,188.321057
55.0,415,188.727767
35.0,556,189.287218
290.0,868,190.173544
20.0,496,190.667883
90.0,653,191.328736
210.0,660,191.997063
155.0,705,192.677616
120.0,548,193.210352
50.0,448,193.631944
105.0,511,194.1502
80.0,356,194.479808
115.0,487,194.957505
85.0,755,195.681912
165.0,710,196.37729
255.0,965,197.309572
345.0,1220,198.521519
180.0,570,199.07696
130.0,695,199.757664
80.0,603,200.329972
80.0,527,200.842635
10.0,402,201.225753
110.0,671,201.894339
135.0,504,202.415877
55.0,392,202.815352
140.0,630,203.436121
170.0,769,204.217007
165.0,932,205.150641
375.0,1053,206.168446
115.0,431,206.599428
5.0,420,207.026617
65.0,545,207.565158
90.0,563,208.122837
85.0,714,208.837216
125.0,623,209.441871
200.0,705,210.129201
160.0,551,210.675047
200.0,799,211.446584
350.0,989,212.399988
155.0,722,213.103708
110.0,544,213.620842
80.0,683,214.268619
70.0,673,214.954914
30.0,586,215.54444
205.0,778,216.31285
210.0,973,217.300361
70.0,524,217.812474
150.0,711,218.507918
120.0,623,219.102353
175.0,694,219.78467
105.0,433,220.202728
480.0,1147,221.324209
30.0,425,221.732423
55.0,488,222.226869
40.0,509,222.719723
110.0,682,223.386175
10.0,457,223.829052
245.0,1052,224.858567
45.0,609,225.449898
420.0,1356,226.75611
25.0,603,227.37305
150.0,695,228.099585
120.0,512,228.610093
45.0,591,229.222416
255.0,913,230.126098
140.0,953,231.056709
185.0,947,231.988243
125.0,707,232.67449
490.0,1018,233.67044
45.0,479,234.138875
205.0,906,235.009006
165.0,882,235.88323
160.0,657,236.534711
60.0,522,237.065175
185.0,969,238.027689
105.0,647,238.676207
215.0,975,239.640932
115.0,1005,240.686988
740.0,1035,241.721723
145.0,685,242.425096
80.0,464,242.886721
45.0,493,243.380954
45.0,646,244.012235
95.0,845,244.841243
85.0,653,245.480645
110.0,515,245.999063
20.0,490,246.484997
130.0,709,247.177508
185.0,967,248.146656
120.0,643,248.775577
105.0,484,249.244214
255.0,987,250.216096
25.0,638,250.846324
490.0,1117,251.925304
105.0,525,252.449736
245.0,997,253.426161
285.0,643,254.059465
265.0,865,254.924382
465.0,1114,256.011384
385.0,1156,257.15157
30.0,474,257.621597
230.0,1074,258.668742
125.0,622,259.275195
50.0,583,259.840765
50.0,360,260.174413
45.0,654,260.812557
210.0,901,261.702661
35.0,533,262.233552
25.0,481,262.70193
35.0,382,263.076583
105.0,717,263.804452
260.0,779,264.551416
150.0,746,265.293581
30.0,600,265.894732
80.0,344,266.231668
55.0,414,266.631064
150.0,672,267.299114
145.0,662,267.953614
110.0,576,268.51499
45.0,368,268.883021
95.0,583,269.458763
45.0,386,269.847668
100.0,655,270.487247
140.0,983,271.452709
80.0,550,272.001645
35.0,525,272.517894
100.0,596,273.123419
85.0,506,273.63079
50.0,355,273.970057
80.0,675,274.64308
40.0,577,275.216492
30.0,412,275.611977
135.0,677,276.257189
105.0,505,276.752651
95.0,595,277.33075
305.0,1480,278.820413
60.0,497,279.318375
150.0,650,279.967897
80.0,578,280.541132
35.0,385,280.908487
80.0,586,281.485448
80.0,551,282.024241
150.0,949,282.95944
90.0,530,283.484445
360.0,931,284.411123
305.0,898,285.292624
155.0,703,285.99134
135.0,741,286.714077
40.0,587,287.300012
55.0,460,287.748574
45.0,468,288.207191
85.0,624,288.826444
30.0,354,289.182515
35.0,509,289.678248
190.0,887,290.554232
50.0,350,290.919645
120.0,717,291.655008
110.0,709,292.391147
130.0,593,293.001423
110.0,744,293.739915
35.0,365,294.09459
130.0,846,294.928128
260.0,1081,295.996438
15.0,535,296.508265
90.0,527,297.018779
105.0,506,297.502012
125.0,688,298.190903
80.0,474,298.661599
125.0,531,299.185883
75.0,594,299.762395
15.0,392,300.145789
150.0,652,300.796204
490.0,1068,301.84498
255.0,930,302.755478
50.0,505,303.270465
35.0,436,303.717018
140.0,612,304.314353
160.0,978,305.293093
85.0,640,305.937087
180.0,640,306.560108
140.0,778,307.327151
20.0,383,307.694177
40.0,641,308.329139
90.0,721,309.043526
145.0,821,309.845876
50.0,546,310.393471
420.0,953,311.352601
65.0,486,311.829207
80.0,362,312.187598
105.0,542,312.733111
240.0,904,313.649656
180.0,596,314.228221
15.0,347,314.569115
190.0,901,315.470467
210.0,830,316.324639
385.0,1179,317.497247
155.0,799,318.335897
130.0,662,319.011404
65.0,571,319.574834
230.0,975,320.542213
75.0,509,321.058689
185.0,821,321.870668
25.0,435,322.304653
180.0,617,322.912005
330.0,1103,323.974422
45.0,399,324.368585
60.0,687,325.033798
110.0,814,325.837023
105.0,467,326.290716
150.0,692,326.983154
125.0,728,327.699198
205.0,1033,328.754035
65.0,519,329.270207
35.0,355,329.625938
150.0,676,330.308037
20.0,536,330.860372
205.0,1128,331.992949
80.0,628,332.623871
50.0,507,333.128174
55.0,616,333.752025
15.0,485,334.24707
20.0,484,334.733337
150.0,804,335.536574
120.0,629,336.179824
35.0,437,336.634371
20.0,538,337.174116
25.0,511,337.69937
40.0,674,338.369547
115.0,488,338.863131
205.0,710,339.574128
40.0,347,339.92962
100.0,527,340.461343
165.0,944,341.446052
65.0,618,342.056556
60.0,396,342.446437
50.0,608,343.06681
210.0,921,344.02986
365.0,958,344.988738
45.0,408,345.385525
65.0,388,345.764669
170.0,785,346.539877
105.0,596,347.141378
95.0,636,347.769777
105.0,535,348.312181
40.0,548,348.864295
30.0,338,349.186092
80.0,712,349.904392
320.0,949,350.874176
140.0,712,351.571712
215.0,844,352.414814
5.0,430,352.837684
185.0,686,353.5241
90.0,519,354.042956
25.0,613,354.678519
180.0,700,355.390937
95.0,658,356.080564
30.0,336,356.428409
390.0,856,357.283522
35.0,373,357.667202
120.0,660,358.338059
85.0,564,358.905533
275.0,893,359.790067
100.0,472,360.276339
105.0,614,360.897263
105.0,602,361.493624
45.0,504,361.986675
80.0,716,362.706516
120.0,700,363.395212
45.0,525,363.898178
165.0,642,364.543551
135.0,776,365.325128
90.0,565,365.879497
75.0,559,366.454222
135.0,655,367.136977
55.0,435,367.578157
65.0,332,367.907668
495.0,1193,369.143754
480.0,1197,370.352095
140.0,723,371.096617
180.0,883,371.984042
190.0,804,372.787281
40.0,558,373.338427
365.0,834,374.156652
90.0,601,374.76118
705.0,1293,376.052291
15.0,493,376.528796
315.0,1305,377.817689
145.0,802,378.613099
120.0,671,379.295739
355.0,1092,380.415925
100.0,672,381.112522
210.0,830,381.974705
60.0,461,382.44065
90.0,781,383.223425
85.0,492,383.702639
195.0,929,384.623066
135.0,503,385.12609
40.0,542,385.647723
65.0,574,386.23847
160.0,755,386.967746
525.0,1271,388.23021
90.0,700,388.944989
195.0,928,389.884012
135.0,568,390.448034
200.0,835,391.274983
90.0,661,391.949651
20.0,340,392.303363
210.0,869,393.19963
90.0,598,393.838386
105.0,558,394.430775
210.0,769,395.224765
35.0,661,395.88535
420.0,915,396.80402
125.0,693,397.4911
50.0,340,397.820363
135.0,708,398.526194
150.0,741,399.259632
285.0,864,400.132559
120.0,802,400.942314
240.0,1144,402.087309
30.0,397,402.485207
