#{"t_start": 1783721429.796538, "env_id": "SpaceInvaders-v0"}
r,l,t
27.0,1346,125.115811
13.0,740,125.560104
22.0,983,126.130821
7.0,645,126.511556
5.0,400,126.753726
14.0,924,127.295613
10.0,934,127.838392
17.0,1011,128.43231
6.0,511,128.740254
17.0,1252,129.468068
7.0,480,129.758655
10.0,730,130.187153
14.0,902,130.731846
5.0,492,131.030421
20.0,1117,131.686477
12.0,653,132.068545
7.0,640,132.45058
14.0,650,132.835975
8.0,400,133.07791
4.0,362,133.296705
6.0,538,133.615346
4.0,522,135.781802
5.0,386,136.132753
8.0,660,136.726585
5.0,394,137.08642
15.0,647,137.670401
19.0,861,138.455178
7.0,530,138.934929
11.0,813,139.697097
2.0,489,140.128126
3.0,818,140.861725
9.0,528,141.325984
3.0,515,141.793496
17.0,1034,142.722897
5.0,488,143.157457
9.0,692,143.799883
5.0,499,144.256616
5.0,388,144.612035
5.0,512,145.083848
6.0,642,145.698568
7.0,518,146.174489
17.0,1063,147.137426
2.0,380,147.47454
4.0,383,147.811454
15.0,825,148.566276
7.0,635,149.138675
7.0,504,149.598902
20.0,872,150.40257
5.0,369,150.742715
12.0,702,151.386272
3.0,524,151.879744
10.0,927,152.717261
5.0,453,153.116998
7.0,462,153.540513
3.0,514,153.992943
13.0,1040,154.926351
5.0,526,155.387764
4.0,393,155.736105
18.0,888,156.564378
5.0,500,157.018478
8.0,570,157.560173
5.0,517,158.046959
7.0,401,158.429728
9.0,674,159.053038
3.0,493,159.492124
14.0,1188,160.567378
17.0,1037,161.49207
13.0,693,162.119352
16.0,965,162.988456
15.0,865,163.792647
5.0,526,164.267796
10.0,752,164.941414
3.0,367,165.264457
14.0,883,166.049849
6.0,507,166.530655
4.0,816,167.279057
15.0,696,167.914746
12.0,903,168.757449
10.0,622,169.344414
5.0,377,169.701914
9.0,931,170.597628
6.0,584,171.156615
3.0,537,171.653965
12.0,861,172.434053
3.0,640,173.017437
3.0,377,173.358515
13.0,952,174.223285
5.0,604,174.765891
21.0,926,175.627513
13.0,817,176.369534
4.0,378,176.695653
9.0,694,177.333923
4.0,381,177.666677
7.0,365,177.984145
4.0,514,178.440421
8.0,785,179.145668
15.0,1108,180.141699
5.0,359,180.493448
12.0,687,181.13042
6.0,619,181.716182
13.0,820,182.492177
4.0,565,183.031963
7.0,469,183.480076
12.0,843,184.309468
10.0,524,184.787371
14.0,719,185.440363
9.0,647,186.025407
7.0,546,186.512613
9.0,644,187.085518
6.0,478,187.527573
8.0,517,187.994673
19.0,1166,189.038045
11.0,757,189.738203
5.0,545,190.224293
13.0,754,190.914534
9.0,668,191.535211
11.0,717,192.17494
7.0,503,192.636798
4.0,529,193.113982
4.0,514,193.579152
5.0,463,194.004385
8.0,653,194.605721
16.0,888,195.42472
5.0,392,195.779716
9.0,739,196.494707
13.0,792,197.213899
21.0,1110,198.218675
4.0,367,198.584518
15.0,976,199.482111
3.0,593,200.026652
5.0,445,200.422333
9.0,592,200.956617
14.0,863,201.730121
18.0,887,202.530681
19.0,915,203.344088
5.0,508,203.804808
19.0,956,204.665156
8.0,685,205.281595
2.0,527,205.764592
6.0,456,206.180566
2.0,480,206.627166
8.0,649,207.236286
17.0,1009,208.17854
10.0,694,208.847883
16.0,1114,209.86926
8.0,668,210.486833
8.0,637,211.054244
23.0,882,211.860719
6.0,489,212.311969
17.0,881,213.120354
4.0,342,213.443505
10.0,652,214.04691
12.0,799,214.797765
16.0,803,215.542528
7.0,368,215.87715
11.0,641,216.461009
12.0,643,217.034159
15.0,675,217.653158
3.0,537,218.144842
4.0,419,218.519034
5.0,362,218.83535
4.0,488,219.281096
15.0,840,220.060392
10.0,904,220.897607
14.0,688,221.5377
11.0,698,222.184829
6.0,479,222.625333
3.0,391,222.978668
3.0,381,223.311341
15.0,708,223.96073
6.0,531,224.437901
20.0,815,225.161691
7.0,623,225.711936
5.0,457,226.121376
15.0,853,226.886453
21.0,932,227.716309
6.0,482,228.151874
10.0,757,228.832997
16.0,1143,229.84148
8.0,561,230.342747
9.0,670,230.935911
14.0,878,231.700638
2.0,512,232.162359
11.0,980,233.064857
5.0,434,233.461237
10.0,814,234.224374
11.0,840,234.998418
11.0,639,235.569726
11.0,651,236.150521
7.0,497,236.594481
6.0,632,237.176761
4.0,536,237.66721
11.0,676,238.278856
14.0,1001,239.171815
7.0,612,239.715983
6.0,550,240.204316
11.0,669,240.803282
21.0,1103,241.786283
13.0,876,242.563109
4.0,502,243.019473
11.0,704,243.645966
14.0,862,244.419436
10.0,976,245.316757
21.0,1055,246.25895
8.0,638,246.85248
22.0,962,247.710252
7.0,605,248.264739
4.0,371,248.599144
6.0,543,249.102746
8.0,664,249.707125
14.0,884,250.503084
8.0,542,250.9927
4.0,511,251.461424
8.0,659,252.054262
11.0,568,252.563253
3.0,367,252.889711
8.0,627,253.450685
9.0,786,254.159582
15.0,904,254.962427
9.0,675,255.571109
5.0,503,256.020678
17.0,950,256.866989
10.0,712,257.522491
11.0,1032,258.490647
5.0,399,258.856326
6.0,485,259.305863
20.0,1133,260.338427
7.0,650,260.929635
6.0,705,261.567497
12.0,645,262.158881
7.0,519,262.640862
7.0,599,263.181669
7.0,473,263.618542
5.0,619,264.173368
4.0,589,264.719842
5.0,328,265.010297
13.0,994,265.902027
8.0,507,266.354798
10.0,669,266.960831
14.0,850,267.720655
19.0,1107,268.699804
9.0,686,269.319617
15.0,943,270.199733
6.0,624,270.781337
3.0,423,271.177221
5.0,422,271.559509
5.0,504,272.018631
3.0,412,272.396581
9.0,580,272.920164
10.0,640,273.491925
3.0,494,273.938411
7.0,510,274.402402
6.0,544,274.89727
21.0,1238,276.012995
19.0,753,276.682999
8.0,626,277.254765
7.0,654,277.845011
10.0,535,278.329056
12.0,857,279.121629
6.0,605,279.666643
12.0,791,280.399053
4.0,525,280.905288
12.0,810,281.66594
19.0,886,282.512391
10.0,653,283.122014
17.0,879,283.95457
16.0,965,284.899034
11.0,736,285.598435
4.0,567,286.126139
10.0,660,286.738061
8.0,630,287.316838
4.0,465,287.729048
4.0,366,288.0643
5.0,547,288.56566
7.0,385,288.903071
5.0,409,289.267503
13.0,1017,290.190401
6.0,643,290.775408
5.0,504,291.231568
7.0,580,291.752309
3.0,398,292.106082
11.0,659,292.714245
4.0,488,293.136945
12.0,758,293.846098
13.0,1058,294.800187
12.0,951,295.668764
21.0,1168,296.707208
8.0,631,297.29736
12.0,817,298.05761
4.0,407,298.435723
6.0,687,299.041203
15.0,942,299.898715
11.0,654,300.493961
9.0,809,301.231059
10.0,712,301.880692
11.0,679,302.483002
4.0,524,302.961654
5.0,428,303.339345
7.0,656,303.939456
13.0,1064,304.899685
10.0,667,305.495853
6.0,479,305.931358
10.0,564,306.431895
7.0,512,306.889445
5.0,493,307.326822
16.0,1276,308.496508
7.0,445,308.905883
5.0,499,309.357745
6.0,360,309.682559
3.0,493,310.155128
14.0,799,310.900383
5.0,516,311.366955
5.0,356,311.687346
8.0,539,312.165731
12.0,664,312.772772
11.0,885,313.571626
17.0,1016,314.484767
6.0,419,314.867298
9.0,759,315.556698
1.0,346,315.870936
7.0,670,316.478444
16.0,1030,317.408854
14.0,822,318.152707
11.0,729,318.821483
23.0,1050,319.760856
3.0,612,320.308536
5.0,568,320.839329
10.0,654,321.444105
12.0,821,322.210184
11.0,844,323.005109
14.0,688,323.63938
10.0,895,324.440276
16.0,1062,325.382129
4.0,504,325.831438
10.0,724,326.488322
19.0,1053,327.428114
2.0,348,327.735107
15.0,773,328.433387
9.0,667,329.031441
7.0,505,329.493098
5.0,510,329.944535
15.0,755,330.618486
5.0,396,330.971336
15.0,812,331.711021
6.0,503,332.150138
32.0,1537,333.487101
8.0,491,333.93385
3.0,399,334.30306
6.0,464,334.740398
5.0,461,335.172527
8.0,503,335.631273
8.0,493,336.092685
9.0,537,336.570644
10.0,704,337.20406
9.0,703,337.840362
12.0,1310,338.984221
9.0,631,339.545502
5.0,648,340.127162
7.0,655,340.727335
8.0,709,341.364285
10.0,713,341.996648
6.0,596,342.528518
7.0,658,343.109629
20.0,992,343.993874
2.0,349,344.300599
7.0,399,344.665636
9.0,648,345.241584
13.0,784,345.960466
5.0,376,346.335699
4.0,396,346.694686
19.0,1124,347.737416
12.0,751,348.461733
10.0,691,349.109117
5.0,503,349.571625
8.0,795,350.330684
4.0,359,350.657764
6.0,525,351.150367
5.0,533,351.654977
10.0,692,352.304251
3.0,383,352.657678
9.0,498,353.103951
3.0,503,353.538302
4.0,512,354.003035
4.0,515,354.463981
6.0,436,354.844791
6.0,565,355.350524
16.0,1100,356.317214
5.0,523,356.78574
6.0,588,357.316529
2.0,361,357.640543
7.0,620,358.202732
5.0,507,358.675142
11.0,607,359.219808
9.0,633,359.810301
11.0,786,360.534144
12.0,705,361.224347
9.0,691,361.876962
6.0,517,362.356259
11.0,858,363.132184
10.0,646,363.718894
15.0,851,364.495932
17.0,888,365.292219
2.0,367,365.617694
20.0,1157,366.64592
9.0,483,367.082841
10.0,791,367.80088
16.0,833,368.547075
17.0,1112,369.535445
9.0,649,370.116704
6.0,405,370.483299
10.0,715,371.119203
8.0,667,371.724385
8.0,669,372.345247
8.0,405,372.706933
12.0,787,373.434977
4.0,383,373.781728
5.0,361,374.130668
6.0,645,374.725137
4.0,573,375.248575
9.0,596,375.799704
14.0,961,376.667762
8.0,542,377.152098
6.0,490,377.588465
5.0,527,378.069292
5.0,369,378.39827
9.0,752,379.075936
4.0,556,379.57916
9.0,636,380.141396
5.0,442,380.537677
19.0,969,381.400961
6.0,706,382.035285
10.0,793,382.751047
4.0,469,383.172284
12.0,922,383.996081
8.0,678,384.629944
9.0,630,385.218847
15.0,824,385.97432
5.0,389,386.342101
5.0,631,386.944642
10.0,678,387.554962
8.0,634,388.124707
5.0,621,388.686492
12.0,652,389.264785
10.0,656,389.849011
3.0,507,390.313349
5.0,569,390.828685
8.0,571,391.327009
5.0,625,391.890953
10.0,806,392.618836
6.0,439,393.044122
4.0,531,393.521622
12.0,562,394.019294
16.0,1003,394.911954
6.0,530,395.389129
5.0,362,395.701971
2.0,503,396.155011
16.0,1283,397.297999
16.0,1042,398.252783
34.0,1623,399.680668
11.0,664,400.284332
5.0,380,400.618452
6.0,417,400.9929
8.0,602,401.527018
6.0,560,402.022069
4.0,405,402.388736
8.0,542,402.876902
19.0,1030,403.806366
9.0,695,404.430212
17.0,885,405.226521
9.0,702,405.867245
4.0,369,406.19195
13.0,790,406.898983
5.0,340,407.200905
6.0,597,407.744254
6.0,340,408.039366
8.0,659,408.643377
8.0,690,409.262087
8.0,506,409.739586
11.0,695,410.390511
6.0,382,410.753082
8.0,551,411.266432
9.0,691,411.935806
12.0,735,412.637206
16.0,946,413.53659
8.0,484,413.979943
10.0,638,414.58791
11.0,623,415.175033
19.0,1112,416.202051
30.0,1251,417.331045
15.0,845,418.118359
10.0,649,418.729796
20.0,1204,419.794455
3.0,610,420.342617
9.0,754,421.02193
4.0,379,421.352358
7.0,468,421.775905
11.0,696,422.422736
8.0,724,423.088896
17.0,778,423.809362
20.0,1048,424.797607
7.0,417,425.16749
3.0,468,425.581576
7.0,690,426.213055
4.0,637,426.787468
10.0,674,427.402535
15.0,1017,428.321878
8.0,453,428.728637
8.0,505,429.194161
10.0,634,429.760292
11.0,928,430.594877
8.0,660,431.170532
5.0,445,431.571941
12.0,761,432.260685
12.0,724,432.917172
8.0,510,433.378904
15.0,702,434.004106
