#{"t_start": 1783734476.7252264, "env_id": "SpaceInvaders-v0"}
r,l,t
155.0,827,144.204048
150.0,706,144.860517
215.0,803,145.587706
225.0,764,146.275057
20.0,400,146.648752
70.0,407,147.016332
445.0,1331,148.239954
75.0,628,148.823023
390.0,777,149.554305
120.0,584,150.093372
270.0,1055,151.027548
55.0,478,151.461528
55.0,528,151.941916
115.0,581,152.478408
135.0,679,153.094877
50.0,372,153.436264
120.0,676,154.050064
70.0,685,154.680597
140.0,806,155.430477
80.0,617,156.010699
30.0,399,156.369004
30.0,300,156.659258
110.0,570,157.185257
45.0,422,157.56417
170.0,772,158.257546
35.0,387,158.600325
180.0,904,159.419381
515.0,1618,160.839427
135.0,633,161.41065
235.0,1241,162.569249
110.0,673,163.184766
90.0,639,163.761603
230.0,1083,164.764564
120.0,658,165.368895
80.0,650,165.965039
50.0,527,166.444224
110.0,670,167.069225
120.0,880,167.894797
490.0,1212,168.989969
30.0,416,169.380568
50.0,545,169.881209
185.0,869,170.674463
85.0,496,171.124364
180.0,686,171.749413
80.0,383,172.08755
45.0,486,172.539877
85.0,493,173.003264
30.0,377,173.354608
180.0,944,174.2097
205.0,811,174.982268
165.0,652,175.578776
325.0,688,176.191391
45.0,539,176.663717
60.0,427,177.057381
15.0,444,177.459575
55.0,372,177.81605
55.0,507,178.303442
55.0,375,178.661513
45.0,341,178.965313
105.0,837,179.728423
190.0,794,180.464637
65.0,504,180.922434
70.0,513,181.394998
245.0,855,182.180631
65.0,634,182.747344
330.0,1111,183.768223
160.0,902,184.619297
55.0,421,185.007801
15.0,349,185.326774
315.0,1214,186.431251
325.0,1015,187.365444
310.0,813,188.11756
320.0,1180,189.18269
55.0,524,189.673476
85.0,512,190.130571
135.0,742,190.826828
230.0,1064,191.802155
180.0,830,192.560893
5.0,475,193.002901
105.0,696,193.636344
75.0,590,194.173259
55.0,365,194.517009
65.0,641,195.105055
150.0,547,195.609935
190.0,1297,196.786715
70.0,410,197.140786
45.0,536,197.634603
140.0,654,198.232504
50.0,783,198.952531
95.0,832,199.72455
95.0,631,200.328583
65.0,523,200.808326
300.0,1122,201.839363
180.0,602,202.385022
125.0,642,202.973097
95.0,735,203.643134
435.0,951,204.498322
200.0,1045,205.450342
60.0,489,205.907569
105.0,519,206.378668
180.0,739,207.069226
90.0,542,207.567705
115.0,527,208.056344
410.0,1039,208.995799
55.0,377,209.326357
45.0,473,209.761381
55.0,489,210.211059
40.0,361,210.546722
85.0,407,210.91179
45.0,474,211.33375
110.0,552,211.835495
40.0,392,212.198826
155.0,565,212.748263
250.0,1002,213.663131
165.0,790,214.381757
35.0,444,214.789258
180.0,817,215.542743
35.0,509,216.018758
60.0,347,216.335951
50.0,624,216.905996
140.0,701,217.561717
135.0,798,218.31577
105.0,620,218.874623
145.0,826,219.642894
80.0,488,220.096512
65.0,493,220.541578
445.0,1368,221.780441
15.0,386,222.130721
15.0,488,222.579491
100.0,656,223.185826
205.0,1076,224.194841
50.0,505,224.67541
85.0,646,225.300412
25.0,401,225.683005
50.0,390,226.024114
65.0,506,226.489368
85.0,719,227.131244
230.0,1025,228.053692
90.0,508,228.520686
15.0,371,228.858134
120.0,582,229.397456
45.0,480,229.839096
190.0,957,230.724646
215.0,1134,231.769675
155.0,726,232.452434
125.0,809,233.205343
60.0,409,233.568034
110.0,712,234.212587
80.0,526,234.710196
110.0,662,235.311584
215.0,945,236.205522
75.0,464,236.635274
300.0,1060,237.619135
60.0,391,237.971144
50.0,575,238.508299
105.0,618,239.067505
315.0,911,239.889287
130.0,677,240.497974
35.0,575,241.003361
195.0,659,241.601416
50.0,687,242.232653
95.0,641,242.825679
65.0,686,243.462373
85.0,743,244.149131
30.0,346,244.473027
50.0,489,244.9375
115.0,662,245.54219
135.0,655,246.135751
40.0,513,246.622466
95.0,712,247.278121
185.0,786,247.992863
240.0,884,248.815752
70.0,528,249.300047
75.0,617,249.866498
105.0,689,250.542723
340.0,926,251.386839
40.0,346,251.692033
105.0,631,252.274611
360.0,1199,253.370136
175.0,951,254.258338
145.0,624,254.832196
60.0,492,255.283195
20.0,460,255.721046
45.0,400,256.098029
90.0,622,256.675878
365.0,1354,257.921831
100.0,521,258.396788
90.0,399,258.772285
90.0,676,259.420147
225.0,1446,260.728176
65.0,377,261.085173
55.0,587,261.651911
125.0,664,262.247998
285.0,1030,263.196184
80.0,382,263.562564
70.0,907,264.401699
140.0,664,265.009806
90.0,440,265.42378
115.0,546,265.92307
275.0,1010,266.86114
35.0,376,267.208691
165.0,786,267.952798
105.0,661,268.571221
120.0,719,269.238479
180.0,678,269.880767
45.0,446,270.30363
110.0,642,270.893471
40.0,387,271.252078
85.0,584,271.792166
110.0,719,272.44285
125.0,668,273.056287
55.0,566,273.582197
80.0,509,274.056362
335.0,648,274.651328
60.0,462,275.072308
125.0,795,275.820464
165.0,684,276.476825
120.0,780,277.186534
140.0,639,277.774418
180.0,675,278.385285
