episode,total_steps,episode_reward,clipped_episode_reward,consecutive_clipped_over_20,max_consecutive_clipped_over_20,avg_clip50,duration,exploration_rate
0,167,7.0,7.0,0,0,7.0,0.44411277770996094,0.9999447219999998
1,353,9.0,9.0,0,0,8.0,0.5123016834259033,0.999882784
2,467,6.0,6.0,0,0,7.333333333333333,0.3042430877685547,0.999844822
3,610,6.0,6.0,0,0,7.0,0.36745619773864746,0.9997972029999999
4,861,15.0,15.0,0,0,8.6,0.6099367141723633,0.9997136199999999
5,1086,8.0,8.0,0,0,8.5,0.5617187023162842,0.9996386950000001
6,1291,18.0,18.0,0,0,9.857142857142858,0.5175001621246338,0.9995704299999999
7,1392,9.0,9.0,0,0,9.75,0.27303624153137207,0.9995367970000002
8,1559,8.0,8.0,0,0,9.555555555555555,0.42325520515441895,0.9994811859999999
9,1746,11.0,11.0,0,0,9.7,0.4896376132965088,0.9994189150000001
10,1856,4.0,4.0,0,0,9.181818181818182,0.29091596603393555,0.9993822850000001
11,2059,10.0,10.0,0,0,9.25,0.5049676895141602,0.9993146859999998
12,2210,13.0,13.0,0,0,9.538461538461538,0.3864004611968994,0.9992644030000001
13,2352,7.0,7.0,0,0,9.357142857142858,0.37424302101135254,0.9992171169999998
14,2465,4.0,4.0,0,0,9.0,0.3050563335418701,0.9991794880000001
15,2573,5.0,5.0,0,0,8.75,0.28347015380859375,0.9991435240000002
16,2735,6.0,6.0,0,0,8.588235294117647,0.42224955558776855,0.9990895780000001
17,2813,5.0,5.0,0,0,8.38888888888889,0.21134233474731445,0.999063604
18,3062,17.0,17.0,0,0,8.842105263157896,0.6021358966827393,0.9989806870000001
19,3276,12.0,12.0,0,0,9.0,0.5394003391265869,0.9989094249999999
20,3451,9.0,9.0,0,0,9.0,0.43801116943359375,0.9988511499999999
21,3728,16.0,16.0,0,0,9.318181818181818,0.6788644790649414,0.998758909
22,3846,3.0,3.0,0,0,9.043478260869565,0.3119175434112549,0.998719615
23,3968,5.0,5.0,0,0,8.875,0.3146374225616455,0.998678989
24,4113,7.0,7.0,0,0,8.8,0.3801302909851074,0.9986307040000002
25,4265,9.0,9.0,0,0,8.807692307692308,0.39533281326293945,0.9985800879999999
26,4541,22.0,22.0,1,1,9.296296296296296,0.6661429405212402,0.9984881800000002
27,4624,3.0,3.0,0,1,9.071428571428571,0.2465064525604248,0.9984605409999999
28,4898,20.0,20.0,0,1,9.448275862068966,0.6585690975189209,0.9983692989999998
29,5015,8.0,8.0,0,1,9.4,0.3106350898742676,0.998330338
30,5149,8.0,8.0,0,1,9.35483870967742,0.3487663269042969,0.9982857159999998
31,5324,13.0,13.0,0,1,9.46875,0.4942026138305664,0.9982274409999998
32,5448,5.0,5.0,0,1,9.333333333333334,0.35013413429260254,0.9981861490000001
33,5625,6.0,6.0,0,1,9.235294117647058,0.4562063217163086,0.9981272080000001
34,5800,9.0,9.0,0,1,9.228571428571428,0.44544363021850586,0.9980689330000001
35,5882,4.0,4.0,0,1,9.083333333333334,0.2257077693939209,0.9980416270000001
36,5980,3.0,3.0,0,1,8.91891891891892,0.25693511962890625,0.9980089929999999
37,6107,6.0,6.0,0,1,8.842105263157896,0.3358793258666992,0.9979667019999999
38,6219,6.0,6.0,0,1,8.76923076923077,0.2938084602355957,0.997929406
39,6407,9.0,9.0,0,1,8.775,0.47188806533813477,0.997866802
40,6680,18.0,18.0,0,1,9.0,0.6701674461364746,0.9977758929999998
41,6892,13.0,13.0,0,1,9.095238095238095,0.5318703651428223,0.997705297
42,7103,17.0,17.0,0,1,9.279069767441861,0.5217220783233643,0.997635034
43,7235,5.0,5.0,0,1,9.181818181818182,0.34487295150756836,0.9975910779999999
44,7414,9.0,9.0,0,1,9.177777777777777,0.44949960708618164,0.9975314710000002
45,7529,7.0,7.0,0,1,9.130434782608695,0.2975797653198242,0.997493176
46,7772,16.0,16.0,0,1,9.27659574468085,0.6004116535186768,0.9974122570000001
47,7930,9.0,9.0,0,1,9.270833333333334,0.4021644592285156,0.997359643
48,8057,5.0,5.0,0,1,9.183673469387756,0.33109235763549805,0.9973173520000002
49,8209,10.0,10.0,0,1,9.2,0.38620877265930176,0.9972667360000002
50,8326,5.0,5.0,0,1,9.16,0.3100106716156006,0.9972277749999999
51,8407,6.0,6.0,0,1,9.1,0.22999048233032227,0.997200802
52,8556,8.0,8.0,0,1,9.14,0.38036012649536133,0.997151185
53,8747,12.0,12.0,0,1,9.26,0.4746735095977783,0.9970875820000001
54,8828,4.0,4.0,0,1,9.04,0.22049379348754883,0.9970606089999999
55,8947,7.0,7.0,0,1,9.02,0.31652069091796875,0.9970209820000001
56,9087,4.0,4.0,0,1,8.74,0.36092543601989746,0.9969743619999999
57,9193,6.0,6.0,0,1,8.68,0.2891840934753418,0.996939064
58,9273,4.0,4.0,0,1,8.6,0.22814226150512695,0.9969124239999999
59,9445,10.0,10.0,0,1,8.58,0.4312403202056885,0.9968551480000002
60,9642,14.0,14.0,0,1,8.78,0.4951777458190918,0.9967895469999999
61,9873,16.0,16.0,0,1,8.9,0.5780510902404785,0.9967126240000002
62,9996,4.0,4.0,0,1,8.72,0.3236124515533447,0.9966716649999998
63,10108,6.0,6.0,0,1,8.7,0.3844170570373535,0.9966343689999999
64,10292,13.0,13.0,0,1,8.88,0.4687352180480957,0.996573097
65,10562,13.0,13.0,0,1,9.04,0.6580309867858887,0.9964831869999999
66,10722,11.0,11.0,0,1,9.14,0.41541433334350586,0.9964299069999999
67,10909,9.0,9.0,0,1,9.22,0.4758117198944092,0.9963676360000002
68,11110,14.0,14.0,0,1,9.16,0.4941866397857666,0.996300703
69,11246,9.0,9.0,0,1,9.1,0.35343408584594727,0.9962554150000001
